timestamp,health,primary_ammo,primary_in_mag,secondary_ammo,secondary_in_mag,prev_health_3s,enemy_shown,action_took
1747323411.338238,100,4,40,6,50,100,1,change_secondary
1747323411.338238,100,4,40,6,50,100,1,change_secondary
1747323412.3394125,100,20,20,6,50,100,1,change_primary
1747323412.3394125,100,20,20,6,50,100,1,change_primary
1747323415.3443894,100,10,20,6,50,100,0,change_secondary
1747323425.3619668,4294967288,9,20,7,30,52,0,change_secondary
1747323425.3619668,4294967288,9,20,7,30,52,0,hold
1747323426.3785632,100,19,40,10,50,4294967288,0,change_primary
1747323426.3785632,100,19,40,10,50,4294967288,0,change_secondary
1747323429.3818824,100,19,40,1,50,100,0,change_primary
1747323429.3818824,100,19,40,1,50,100,0,change_primary
1747323432.3892682,100,15,40,1,50,100,0,change_secondary
1747323436.3950834,73,8,40,8,40,100,0,change_primary
1747323438.3976085,13,5,40,5,40,73,0,reload
1747323443.4086597,100,20,60,10,50,4294967260,1,reload
1747323447.4138758,20,7,60,10,50,100,0,reload
1747323451.4273548,20,10,44,10,50,20,0,reload
1747323451.4273548,20,10,44,10,50,20,0,reload
1747323451.4273548,20,10,44,10,50,20,0,reload
1747323460.4455686,14,8,30,10,50,20,0,reload
1747323460.4455686,14,8,30,10,50,20,0,reload
1747323465.4616256,14,5,18,10,50,14,1,reload
1747323466.46334,14,20,0,10,50,14,0,change_secondary
1747323467.4652343,14,20,0,10,50,14,0,change_secondary
1747323467.4652343,14,20,0,10,50,14,0,change_secondary
1747323467.4652343,14,20,0,10,50,14,0,change_secondary
1747323467.4652343,14,20,0,10,50,14,0,change_secondary
1747323471.472355,14,20,0,1,50,14,0,reload
1747323471.472355,14,20,0,1,50,14,0,reload
1747323478.4824104,100,20,40,10,50,14,0,change_secondary
1747323478.4824104,100,20,40,10,50,14,0,change_secondary
1747323488.50792,100,20,40,5,40,100,0,hold
1747323489.5092628,100,20,40,5,40,100,0,change_primary
1747323489.5092628,100,20,40,5,40,100,0,change_primary
1747323497.523769,100,20,40,10,50,25,0,change_secondary
1747323507.540298,78,20,40,5,40,78,0,hold
1747323508.54188,78,20,40,10,30,78,0,change_primary
1747323508.54188,78,20,40,10,30,78,0,change_primary
1747323509.5433218,78,20,40,10,30,78,0,change_primary
1747323509.5433218,78,20,40,10,30,78,0,change_primary
1747323509.5433218,78,20,40,10,30,78,1,change_primary
1747323509.5433218,78,20,40,10,30,78,1,change_primary
1747323512.5478861,78,10,40,10,30,78,0,reload
1747323512.5478861,78,10,40,10,30,78,0,reload
1747323516.5552025,61,8,30,10,30,78,1,reload
1747323520.5608456,50,9,15,10,30,61,1,reload
1747323520.5608456,50,9,15,10,30,61,1,reload
1747323522.563137,50,20,4,10,30,50,0,change_secondary
1747323526.5741408,50,14,4,2,30,50,0,reload
1747323527.5754886,50,14,4,10,20,50,0,change_primary
1747323527.5754886,50,14,4,10,20,50,0,change_primary
1747323528.5763707,50,14,4,10,20,50,0,change_primary
1747323529.57758,50,14,4,10,20,50,0,reload
1747323530.5789986,50,14,0,10,20,50,1,change_secondary
1747323530.5789986,50,14,0,10,20,50,1,change_secondary
1747323531.5800807,50,14,0,10,20,50,1,change_secondary
1747323531.5800807,50,14,0,10,20,50,1,change_secondary
1747323531.5800807,50,14,0,10,20,50,1,change_secondary
1747323533.5829346,50,7,0,10,20,50,0,change_secondary
1747323533.5829346,50,7,0,10,20,50,0,change_secondary
1747323536.5903592,50,4,0,3,20,50,1,reload
1747323536.5903592,50,4,0,3,20,50,1,reload
1747323546.607094,4294967288,4,0,2,12,4294967288,0,hold
1747323556.6307442,4294967288,4,0,2,12,4294967288,0,hold
1747323566.6577642,100,20,40,10,50,100,0,hold
1747324344.9952443,4294967285,20,40,10,50,4294967285,0,change_secondary
1747324355.010789,91,20,40,9,50,91,0,hold
1747324365.0344644,91,20,40,9,50,91,0,hold
1747324375.0657215,91,20,40,9,50,91,0,hold
1747324376.0674257,91,20,40,9,50,91,0,change_primary
1747324376.0674257,91,20,40,9,50,91,0,change_primary
1747324386.0944722,50,12,60,9,50,91,0,hold
1747324387.0958104,50,6,60,9,50,91,0,reload
1747324387.0958104,50,6,60,9,50,91,0,reload
1747324396.1177187,50,11,46,9,50,50,0,reload
1747324396.1177187,50,11,46,9,50,50,0,reload
1747324406.1361976,50,20,37,9,50,50,0,hold
1747324415.1542811,100,18,40,10,50,4294967295,0,change_secondary
1747324415.1542811,100,18,40,10,50,4294967295,0,change_secondary
1747324425.1739233,100,18,40,6,50,100,0,hold
1747324428.1798093,100,18,40,4,50,100,0,change_primary
1747324428.1798093,100,18,40,4,50,100,0,change_primary
1747324438.19881,84,18,40,4,50,84,0,hold
1747324448.2316768,4294967266,20,20,4,50,52,0,hold
1747324458.3533614,74,16,40,10,70,100,0,hold
1747324468.3976233,67,20,40,10,70,67,1,hold
1747324478.414712,100,20,40,3,70,100,1,change_primary
1747324478.414712,100,20,40,3,70,100,1,change_primary
1747324488.4306269,100,19,40,3,70,100,0,hold
1747324498.4527206,100,20,40,10,50,4294967292,0,change_secondary
1747324498.4527206,100,20,40,10,50,4294967292,0,change_secondary
1747324502.4621177,100,20,40,4,50,100,0,change_primary
1747324507.4685533,100,5,60,0,50,100,0,reload
1747324515.4819257,100,18,43,0,50,100,0,reload
1747324525.505865,100,14,41,0,50,100,0,hold
1747324535.5297801,100,1,60,0,50,100,1,hold
1747324545.5470715,78,9,40,0,50,78,1,hold
1747324548.5511112,100,20,40,10,50,78,0,change_secondary
1747324548.5511112,100,20,40,10,50,78,0,change_secondary
1747324549.5578678,100,20,40,10,50,4294967223,0,change_primary
1747324559.5893524,100,3,40,10,50,100,0,hold
1747324569.6167624,100,20,40,10,50,8,0,hold
1747324579.6455526,100,5,60,10,50,100,1,hold
1747324589.6687531,4294967256,20,20,10,50,100,0,hold
1747324599.7254755,100,7,60,10,50,100,0,reload
1747324599.7254755,100,7,60,10,50,100,0,reload
1747324609.767395,100,20,27,10,50,100,0,hold
1747324612.775515,95,15,27,10,50,100,0,change_secondary
1747324612.775515,95,15,27,10,50,100,0,change_secondary
1747324622.8304005,100,15,40,10,50,100,0,hold
1747324632.8664486,100,20,40,10,50,4294967284,0,hold
1747324642.9181216,100,5,40,10,50,100,0,hold
1747324652.9669054,18,13,0,10,50,100,0,hold
1747324653.9710622,18,7,0,10,50,100,1,change_secondary
1747324665.0126028,100,20,40,10,50,4294967241,0,hold
1747324674.0384204,100,10,40,10,50,100,0,change_primary
1747324674.0384204,100,10,40,10,50,100,0,change_primary
1747324675.0411718,40,6,40,10,50,100,0,change_secondary
1747324679.0464246,100,20,40,10,50,40,0,change_primary
1747324679.0464246,100,20,40,10,50,40,0,change_primary
1747324685.0646462,100,11,40,10,50,100,0,change_secondary
1747324692.0864553,68,9,60,8,40,84,0,change_primary
1747324696.099685,68,6,60,5,40,68,0,reload
1747324697.104623,68,4,60,5,40,68,0,reload
1747324698.1085453,68,20,44,5,40,68,0,reload
1747324704.1206374,68,9,44,5,40,68,1,reload
1747324714.1668625,43,3,60,5,40,43,1,reload
1747324724.200369,76,8,43,5,40,76,0,hold
1747324734.2228372,76,20,3,5,40,76,1,hold
1747324744.2413433,4294967290,3,0,5,40,54,0,hold
1747324754.2635272,100,4,40,10,70,100,0,hold
1747324762.2926507,78,20,0,10,70,78,0,reload
1747324764.2963703,78,14,0,10,70,78,0,change_secondary
1747324774.320557,13,13,40,5,50,57,1,hold
1747324774.320557,13,13,40,5,50,57,0,change_primary
1747324782.3322594,100,11,40,10,50,100,0,reload
1747324782.3322594,100,11,40,10,50,100,0,reload
1747324793.34761,100,14,40,10,50,100,0,hold
1747324797.3586318,100,5,40,10,50,100,0,reload
1747324797.3586318,100,5,40,10,50,100,0,reload
1747324807.3762527,100,8,24,10,50,100,0,hold
1747324817.398709,11,0,0,10,50,62,1,hold
1747324817.398709,11,0,0,10,50,62,1,change_secondary
1747324817.398709,11,0,0,10,50,62,1,change_secondary
1747324820.4130952,100,20,40,10,50,11,1,change_secondary
1747324820.4130952,100,20,40,10,50,11,1,change_secondary
1747324828.4288106,10,20,60,10,30,100,1,change_primary
1747324828.4288106,10,20,60,10,30,100,1,change_primary
1747324828.4288106,10,20,60,10,30,100,1,change_primary
1747324828.4288106,10,20,60,10,30,100,1,change_primary
1747324830.430797,10,20,60,5,30,100,0,change_primary
1747324830.430797,10,20,60,5,30,100,0,change_primary
1747324841.4526389,100,17,40,10,50,100,0,hold
1747324844.4569514,100,6,40,10,50,100,0,reload
1747324844.4569514,100,6,40,10,50,100,0,reload
1747324854.4871445,100,11,5,10,50,100,1,reload
1747324854.4871445,100,11,5,10,50,100,1,hold
1747324857.503066,100,15,0,10,50,100,0,change_primary
1747324857.503066,100,15,0,10,50,100,0,change_primary
1747324857.503066,100,15,0,10,50,100,0,change_secondary
1747324868.5213025,100,15,0,3,60,100,0,hold
1747324868.5213025,100,15,0,3,60,100,0,reload
1747324873.5305715,100,20,40,10,50,4294967254,0,reload
1747324873.5305715,100,20,40,10,50,4294967254,0,reload
1747324877.5429916,100,8,40,10,50,100,0,reload
1747324877.5429916,100,8,40,10,50,100,0,reload
1747324887.5598419,18,8,26,10,50,18,0,hold
1747324887.5598419,18,8,26,10,50,18,0,reload
1747324887.5598419,18,8,26,10,50,18,0,reload
1747324897.5759745,100,20,40,10,50,100,0,reload
1747324901.5811849,100,14,60,10,50,100,0,reload
1747324905.5904021,100,14,51,10,50,100,0,reload
1747324905.5904021,100,14,51,10,50,100,0,reload
1747324908.5958095,100,15,43,10,50,100,0,reload
1747324911.6035862,100,16,34,10,50,100,0,change_secondary
1747324911.6035862,100,16,34,10,50,100,0,change_secondary
1747324914.6203358,100,12,34,2,50,100,0,reload
1747324918.6284895,100,12,34,4,42,100,0,reload
1747324918.6284895,100,12,34,4,42,100,0,reload
1747324921.638033,40,12,34,10,33,100,0,change_primary
1747324923.6414888,40,11,34,7,33,40,0,reload
1747324927.6466012,40,9,22,7,33,40,0,reload
1747324937.6683555,100,12,40,10,50,100,0,hold
1747324939.6753564,84,2,40,10,50,100,0,reload
1747324948.7055452,84,15,20,10,50,84,0,reload
1747324948.7055452,84,15,20,10,50,84,0,reload
1747324951.709344,84,15,11,10,50,84,0,reload
1747324951.709344,84,15,11,10,50,84,0,reload
1747324951.709344,84,15,11,10,50,84,0,reload
1747324955.7158508,28,11,2,10,50,55,0,reload
1747324955.7158508,28,11,2,10,50,55,0,reload
1747324956.7225912,17,6,0,10,50,54,0,reload
1747324965.7404225,100,16,40,10,50,100,0,reload
1747324968.7611964,100,20,52,10,50,100,0,change_secondary
1747324971.7731721,100,20,52,10,50,100,0,change_secondary
1747324971.7731721,100,20,52,10,50,100,0,change_secondary
1747324972.7740662,100,20,52,10,50,100,0,change_primary
1747324972.7740662,100,20,52,10,50,100,0,change_primary
1747324975.778682,100,20,52,10,50,100,0,change_primary
1747324976.779858,100,20,52,10,50,100,0,change_primary
1747324976.779858,100,20,52,10,50,100,0,change_primary
